"YY","MM","DD","hh","WD","WSPD","GST","WVHT","DPD","APD","MWD","BAR","ATMP","WTMP","DEWP","VIS"
86,1,4,10,290,13,15,99,99,99,999,1012.2,-3.1,4.1,999,99
86,1,4,11,290,11,14,99,99,99,999,1014.2,-4.1,4.1,999,99
86,1,4,12,300,12,15,99,99,99,999,1016.5,-5.1,4,999,99
86,1,4,13,300,11,13,99,99,99,999,1018.2,-5.9,4,999,99
86,1,4,14,290,11,14,99,99,99,999,1019.9,-5.8,4,999,99
86,1,4,15,300,10,12,99,99,99,999,1021.3,-5.4,3.9,999,99
86,1,4,16,280,10,12,99,99,99,999,1022.2,-5,3.9,999,99
86,1,4,17,280,6,9,99,99,99,999,1021,-4.2,4,999,99
86,1,4,18,290,8,9,99,99,99,999,1020.6,-3.6,4.1,999,99
86,1,4,19,290,6,8,99,99,99,999,1021,-3,4.1,999,99
86,1,4,20,290,5,7,99,99,99,999,1021.7,-2.6,4.2,999,99
86,1,4,21,300,4,5,99,99,99,999,1022.1,-2.4,4.2,999,99
86,1,4,22,300,3,4,99,99,99,999,1023.1,-2.4,4.2,999,99
86,1,4,23,320,3,5,99,99,99,999,1023.2,-2.6,4.2,999,99
86,1,5,0,0,0,1,99,99,99,999,1023.7,-2.9,4.1,999,99
86,1,5,1,0,0,1,99,99,99,999,1023.7,-3,4,999,99
86,1,5,2,0,0,1,99,99,99,999,1023.1,-2.3,4,999,99
86,1,5,3,130,2,3,99,99,99,999,1022.3,-1.5,4.1,999,99
86,1,5,4,150,2,3,99,99,99,999,1021.6,-1.1,4.1,999,99
86,1,5,5,170,3,4,99,99,99,999,1020.6,-0.6,4.1,999,99
86,1,5,6,150,3,4,99,99,99,999,1019.2,-0.8,4.1,999,99
86,1,5,7,130,5,6,99,99,99,999,1017.9,0,4.1,999,99
86,1,5,8,130,6,8,99,99,99,999,1016.5,1,4.1,999,99
86,1,5,9,110,8,10,99,99,99,999,1013.1,1.6,4.3,999,99
86,1,5,10,100,10,12,99,99,99,999,1009.4,2.7,4.7,999,99
86,1,5,11,110,12,16,99,99,99,999,1007,3.2,4.8,999,99
86,1,5,12,100,13,16,99,99,99,999,1004.4,3,4.9,999,99
86,1,5,13,110,12,16,99,99,99,999,1002.7,4.1,4.7,999,99
86,1,5,14,110,7,9,99,99,99,999,1002.5,4.6,4.3,999,99
86,1,5,15,110,3,5,99,99,99,999,1000.8,5.1,4.2,999,99
86,1,5,16,70,2,3,99,99,99,999,998.1,5.1,4.1,999,99
86,1,5,17,310,9,13,99,99,99,999,996.3,3.4,4,999,99
86,1,5,18,310,9,11,99,99,99,999,996.4,-2.9,4,999,99
86,1,5,19,310,8,9,99,99,99,999,996.8,-4.2,4,999,99
86,1,5,20,290,8,10,99,99,99,999,997.2,-3.5,4.1,999,99
86,1,5,21,280,6,8,99,99,99,999,997.7,-3.1,4.1,999,99
86,1,5,22,280,8,10,99,99,99,999,997.8,-2.5,4.2,999,99
86,1,5,23,270,7,9,99,99,99,999,998.8,-1.4,4.3,999,99
86,1,6,0,260,11,15,99,99,99,999,999.5,0.1,4.3,999,99
86,1,6,1,260,13,16,99,99,99,999,1000.8,-0.2,4.2,999,99
86,1,6,2,270,13,17,99,99,99,999,1002,-0.8,4.2,999,99
86,1,6,3,260,12,14,99,99,99,999,1003.6,-1.4,4.1,999,99
86,1,6,4,250,11,14,99,99,99,999,1003.5,-1.4,4,999,99
86,1,6,5,250,13,15,99,99,99,999,1003.5,-1.3,4,999,99
86,1,6,6,240,10,12,99,99,99,999,1003.9,-1.6,4.1,999,99
86,1,6,7,240,9,10,99,99,99,999,1004.3,-1.8,4.1,999,99
86,1,6,8,220,8,10,99,99,99,999,1003.8,-1.6,4,999,99
86,1,6,9,220,11,15,99,99,99,999,1003,-1.8,4.2,999,99
86,1,6,10,230,12,15,99,99,99,999,1002.9,-1.6,4.3,999,99
86,1,6,11,230,12,14,99,99,99,999,1003,-1.5,4.4,999,99
86,1,6,12,230,11,14,99,99,99,999,1002.8,-1.4,4.4,999,99
86,1,6,13,230,13,16,99,99,99,999,1003.3,-1.4,4.2,999,99
86,1,6,14,220,13,16,99,99,99,999,1004,-1,4,999,99
86,1,6,15,230,12,15,99,99,99,999,1003.9,-0.5,3.9,999,99
86,1,6,16,230,13,16,99,99,99,999,1003.6,0,3.9,999,99
86,1,6,17,240,12,16,99,99,99,999,1003,0.1,3.9,999,99
86,1,6,18,240,13,15,99,99,99,999,1003.7,-1.1,3.9,999,99
86,1,6,19,250,16,20,99,99,99,999,1003.6,0,3.9,999,99
86,1,6,20,260,13,16,99,99,99,999,1005.1,0.2,3.9,999,99
86,1,6,21,270,13,16,99,99,99,999,1006.6,0.1,3.9,999,99
86,1,6,22,270,12,16,99,99,99,999,1008.6,-0.6,3.9,999,99
86,1,6,23,260,15,17,99,99,99,999,1009.8,-1,3.8,999,99
86,1,7,0,260,14,17,99,99,99,999,1011.1,-1.4,3.8,999,99
86,1,7,1,270,15,19,99,99,99,999,1012.5,-2.2,3.8,999,99
86,1,7,2,260,11,14,99,99,99,999,1013.9,-2.7,3.7,999,99
86,1,7,3,260,12,16,99,99,99,999,1015,-3.1,3.8,999,99
86,1,7,4,270,13,15,99,99,99,999,1015.3,-3.8,3.8,999,99
86,1,7,5,260,14,18,99,99,99,999,1015.4,-4,3.8,999,99
86,1,7,6,270,13,16,99,99,99,999,1016.5,-4.5,3.8,999,99
86,1,7,7,270,14,17,99,99,99,999,1017.5,-5.3,3.8,999,99
86,1,7,8,270,11,15,99,99,99,999,1018.5,-5.7,3.7,999,99
86,1,7,9,280,11,15,99,99,99,999,1018.4,-6.1,3.7,999,99
86,1,7,10,270,12,16,99,99,99,999,1018.5,-6.7,3.8,999,99
86,1,7,11,270,11,14,99,99,99,999,1019.1,-7.1,3.7,999,99
86,1,7,12,270,10,13,99,99,99,999,1019.8,-7.4,3.6,999,99
86,1,7,13,280,9,12,99,99,99,999,1020.1,-7.7,3.6,999,99
86,1,7,14,270,8,10,99,99,99,999,1020.8,-7.7,3.6,999,99
86,1,7,15,270,7,10,99,99,99,999,1021,-7.8,3.8,999,99
86,1,7,16,280,8,11,99,99,99,999,1020.6,-7.5,3.9,999,99
86,1,7,17,280,9,12,99,99,99,999,1019.7,-7,3.8,999,99
86,1,7,18,270,9,11,99,99,99,999,1019.1,-6.3,3.8,999,99
86,1,7,19,280,10,12,99,99,99,999,1019.1,-5.6,3.8,999,99
86,1,7,20,270,10,12,99,99,99,999,1019.1,-4.8,3.8,999,99
86,1,7,21,270,10,15,99,99,99,999,1019.4,-4.5,3.8,999,99
86,1,7,22,290,13,15,99,99,99,999,1020,-4.9,3.8,999,99
86,1,7,23,290,12,14,99,99,99,999,1020.6,-5.7,3.9,999,99
86,1,8,0,290,9,11,99,99,99,999,1021.1,-6.4,3.7,999,99
86,1,8,1,290,9,11,99,99,99,999,1021.6,-7.4,3.5,999,99
86,1,8,2,290,14,18,99,99,99,999,1021.2,-8.4,3.5,999,99
86,1,8,3,300,11,15,99,99,99,999,1021.8,-9.3,3.5,999,99
86,1,8,4,300,12,16,99,99,99,999,1022.2,-10.1,3.5,999,99
86,1,8,5,300,12,15,99,99,99,999,1022.3,-10.6,4,999,99
86,1,8,6,300,12,15,99,99,99,999,1023.1,-11.1,4,999,99
86,1,8,7,290,11,14,99,99,99,999,1024.3,-11.5,3.9,999,99
86,1,8,8,300,11,14,99,99,99,999,1024.8,-11.9,3.9,999,99
86,1,8,9,300,11,13,99,99,99,999,1024.9,-12,3.9,999,99
86,1,8,10,300,12,14,99,99,99,999,1025.3,-12.2,3.7,999,99
86,1,8,11,290,11,14,99,99,99,999,1026.7,-12.4,3.6,999,99
86,1,8,12,290,11,14,99,99,99,999,1027.8,-12.3,3.5,999,99
86,1,8,13,290,11,14,99,99,99,999,1028.3,-12.4,3.7,999,99
86,1,8,14,300,10,13,99,99,99,999,1028.6,-11.6,4.3,999,99
86,1,8,15,300,9,12,99,99,99,999,1029.6,-10.8,4.1,999,99
86,1,8,16,310,10,13,99,99,99,999,1029.1,-8.7,3.8,999,99
86,1,8,17,310,10,14,99,99,99,999,1028.5,-7,3.5,999,99
86,1,8,18,300,10,12,99,99,99,999,1028.4,-5.8,3.5,999,99
86,1,8,19,300,12,15,99,99,99,999,1028.4,-4.9,3.5,999,99
86,1,8,20,300,12,15,99,99,99,999,1029.1,-3.9,3.5,999,99
86,1,8,21,290,11,14,99,99,99,999,1029.7,-4.2,3.5,999,99
86,1,8,22,290,10,12,99,99,99,999,1030,-4.5,3.5,999,99
86,1,8,23,300,11,13,99,99,99,999,1030.1,-4.9,3.4,999,99
86,1,9,0,280,10,12,99,99,99,999,1030.9,-5.4,3.5,999,99
86,1,9,1,290,10,12,99,99,99,999,1031,-5.8,3.8,999,99
86,1,9,2,270,8,11,99,99,99,999,1030.9,-6.2,3.9,999,99
86,1,9,3,260,9,11,99,99,99,999,1031,-6.7,3.9,999,99
86,1,9,4,260,9,11,99,99,99,999,1030.1,-7.3,3.9,999,99
86,1,9,5,260,9,10,99,99,99,999,1029.5,-7.2,3.9,999,99
86,1,9,6,260,9,11,99,99,99,999,1028.6,-7.5,3.7,999,99
86,1,9,7,240,7,9,99,99,99,999,1028.3,-7.6,3.5,999,99
86,1,9,8,230,9,11,99,99,99,999,1027.7,-7.6,3.4,999,99
86,1,9,9,230,9,12,99,99,99,999,1026.2,-7.7,3.5,999,99
86,1,9,10,230,10,13,99,99,99,999,1024.2,-7.4,3.5,999,99
86,1,9,11,230,11,14,99,99,99,999,1023.1,-6.2,3.5,999,99
86,1,9,12,240,11,14,99,99,99,999,1022.2,-5.5,3.8,999,99
86,1,9,13,240,14,17,99,99,99,999,1020.9,-4.4,3.9,999,99
86,1,9,15,240,13,16,99,99,99,999,1020,-3.4,4.1,999,99
86,1,9,16,240,11,12,99,99,99,999,1019.3,-1.9,3.9,999,99
86,1,9,17,240,12,13,99,99,99,999,1017.5,-0.6,3.5,999,99
86,1,9,18,240,11,13,99,99,99,999,1016.2,0.8,3.5,999,99
86,1,9,19,240,9,11,99,99,99,999,1015.8,1.9,3.9,999,99
86,1,9,20,230,8,10,99,99,99,999,1015.1,3.1,4,999,99
86,1,9,21,220,8,10,99,99,99,999,1014.4,3.2,4,999,99
