Higher classification,Order,Family,Common Name,Genus,Species,Body Temperature (C),Body Mass (g),Basal Metabolic Rate (W),Air temperature (C)
Afrotheria,Macroscelidea,Macroscelididae,Elephant-shrews,Elephantulus,rufescens,37.3,53,0.317,23.04271531
Euarchontoglires,Rodentia,Cricetidae,*,Microtus,breweri,37.3,53.1,0.412,*
Laurasiatheria,Chiroptera,Pteropodidae,Old-world Fruit Bats,Melonycteris,melanops,34.9,53.3,0.242,8.055213248
Euarchontoglires,Rodentia,Cricetidae,*,Phyllotis,xanthopygus,37.3,55,0.316,8.177045279
Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Acomys,russatus,37.3,55.55,0.239,19.4956925
Laurasiatheria,Chiroptera,Molossidae,Free-tailed Bats,Eumops,perotis,32.6,56,0.222,20.98653782
Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Golunda,ellioti,*,56.2,0.339,23.11238296
Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Sekeetamys,calurus,37.5,56.9,0.248,19.6958996
Euarchontoglires,Rodentia,Sciuridae,Squirrels,Tamias,amoenus,37,57.1,0.537,4.878375608
Euarchontoglires,Rodentia,Heteromyidae,*,Dipodomys,microps,35,57.2,0.373,8.812169253
Euarchontoglires,Scandentia,Ptilocercidae,*,Ptilocerus,lowii,36.5,57.5,0.24,20.27631242
Euarchontoglires,Erinaceomorpha,Erinaceidae,Hedgehogs & Moonrats,Hylomys,suillus,37.3,57.8,0.335,20.29504855
Euarchontoglires,Rodentia,Cricetidae,*,Phyllotis,darwini,36.2,59,0.398,7.107522867
Euarchontoglires,Rodentia,Cricetidae,*,Dicrostonyx,groenlandicus,38.4,59.62,0.551,-10.96056626
Euarchontoglires,Rodentia,Bathyergidae,African Mole-rats,Cryptomys,darlingi,33.3,60,0.316866667,*
Euarchontoglires,Rodentia,Sciuridae,Squirrels,Funisciurus,isabella,*,60,0.57,22.98876915
Euarchontoglires,Rodentia,Heteromyidae,*,Dipodomys,agilis,37,60.6,0.355,11.94647564
Laurasiatheria,Chiroptera,Noctilionidae,Fishing Bats,Noctilio,leporinus,34.5,61,0.4,22.13714043
Euarchontoglires,Soricomorpha,Talpidae,Moles,Scapanus,latimanus,*,61,0.425,9.817095422
Euarchontoglires,Soricomorpha,Talpidae,Moles,Scapanus,orarius,*,61.2,0.358,6.893815943
Euarchontoglires,Rodentia,Nesomyidae,*,Saccostomus,campestris,35.3,61.3,0.287,20.27814793
Euarchontoglires,Rodentia,Cricetidae,*,Chelemys,macronyx,36.8,62,0.454283333,5.295155971
Euarchontoglires,Rodentia,Cricetidae,*,Loxodontomys,micropus,37.4,62.3,0.546,*
Euarchontoglires,Rodentia,Cricetidae,*,Phyllotis,magister,*,62.8,0.385,6.092792743
Afrotheria,Macroscelidea,Macroscelididae,Elephant-shrews,Elephantulus,myurus,36.9,62.97,0.37,19.18350161
Euarchontoglires,Rodentia,Sciuridae,Squirrels,Funisciurus,anerythrus,*,63,0.58,23.90368988
Euarchontoglires,Rodentia,Heteromyidae,*,Dipodomys,heermanni,*,63.3,0.408,12.26135258
Euarchontoglires,Primates,Galagidae,*,Galago,demidoff,*,63.8,0.329,*
Laurasiatheria,Chiroptera,Phyllostomidae,American Leaf-nosed Bats,Artibeus,fimbriatus,*,63.9,0.435,20.41363253
Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Micaelamys,namaquensis,36.8,64.2,0.317,*
Euarchontoglires,Rodentia,Heteromyidae,*,Dipodomys,panamintinus,36.9,64.2,0.414,9.82923328
Euarchontoglires,Rodentia,Sciuridae,Squirrels,Glaucomys,volans,39,64.25,0.377,12.86876776
Euarchontoglires,Rodentia,Cricetidae,*,Euneomys,chinchilloides,*,65.4,0.471,3.94933316
Euarchontoglires,Rodentia,Cricetidae,*,Microtus,richardsoni,38.7,65.65,0.714,3.499110286
Euarchontoglires,Rodentia,Cricetidae,*,Peromyscus,megalops,*,66.2,0.506,19.20623635
Marsupialia,Dasyuromorpha,Dasyuridae,Dasyurids,Antechinus,swainsonii,36,66.9,0.351,11.53249675
Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Meriones,unguiculatus,38.2,67,0.43,0.337690427
Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Millardia,meltada,*,67.4,0.327,23.62127124
Euarchontoglires,Rodentia,Gliridae,Dormice,Graphiurus,ocularis,*,67.8,0.37,15.69034778
Euarchontoglires,Rodentia,Cricetidae,*,Microtus,xanthognathus,38,68.5,0.55,-6.728411045
Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Meriones,hurrianae,36.1,69,0.304,22.89227067
Euarchontoglires,Rodentia,Heteromyidae,*,Heteromys,anomalus,36,69.3,0.561,20.17375967
Euarchontoglires,Rodentia,Cricetidae,*,Graomys,griseoflavus,36.1,69.4,0.469,17.35182542
Euarchontoglires,Rodentia,Sciuridae,Squirrels,Tamias,palmeri,*,69.4,0.631,14.22018069
Marsupialia,Diprontodontia,Burramyidae,Pygmy Possums,Cercartetus,nanus,35.6,70,0.336,11.14886447
Afrotheria,Afrosoricida,Chrysochloridae,Golden Moles,Amblysomus,hottentotus,*,70,0.473,14.79639083
Laurasiatheria,Chiroptera,Phyllostomidae,American Leaf-nosed Bats,Artibeus,lituratus,37.3,70.1,0.602,22.59738669
Euarchontoglires,Rodentia,Octodontidae,Degus & Tuco-tucos,Tympanoctomys,barrerae,35.7,71.4,0.43,14.58699845
Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Desmodillus,auricularis,35.9,71.93,0.49,17.78118457
Laurasiatheria,Chiroptera,Pteropodidae,Old-world Fruit Bats,Dobsonia,minor,36.5,73.7,0.415,20.00625215
Euarchontoglires,Rodentia,Bathyergidae,African Mole-rats,Cryptomys,hottentotus,34.4,75,0.377,19.15711533
Euarchontoglires,Rodentia,Sciuridae,Squirrels,Tamias,merriami,37,75,0.44,10.0984744
Euarchontoglires,Rodentia,Dipodidae,Gerboas & Jumping Mice (includes Zapodidae),Jaculus,jaculus,37.5,75,0.515,23.26916864
Laurasiatheria,Carnivora,Mustelidae,"Otters, Weasels & Badgers",Mustela,erminea,39.6,75,0.93,-2.669965093
Marsupialia,Didelphimorphia,Didelphidae,American Opossums,Monodelphis,brevicaudata,33.7,75.5,0.318,24.38321088
Euarchontoglires,Rodentia,Heteromyidae,*,Heteromys,desmarestianus,33.8,75.8,0.553,20.78784037
Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Rattus,fuscipes,37.5,76,0.471,12.65069627
Euarchontoglires,Rodentia,Cricetidae,*,Auliscomys,boliviensis,36.3,76.8,0.617,7.018472733
Afrotheria,Afrosoricida,Tenrecidae,Tenrecs,Limnogale,mergulus,*,77.7,0.312,17.89305071
Euarchontoglires,Rodentia,Cricetidae,*,Reithrodon,auritus,38,78.7,0.428,12.42279796
Euarchontoglires,Rodentia,Bathyergidae,African Mole-rats,Cryptomys,amatus,35,79.5,0.299083333,*
Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Pseudomys,gracilicaudatus,36.8,79.8,0.467,16.08525931
Euarchontoglires,Rodentia,Cricetidae,*,Lemmus,lemmus,37.8,80,1.071,-1.424981853
Euarchontoglires,Rodentia,Cricetidae,*,Oxymycterus,roberti,38.3,83.5,0.508,20.35080627
Euarchontoglires,Rodentia,Nesomyidae,*,Stochomys,longicaudatus,*,84.2,0.544,23.65528981
Laurasiatheria,Chiroptera,Phyllostomidae,American Leaf-nosed Bats,Phyllostomus,hastatus,34.7,84.2,0.559,22.97779042
Euarchontoglires,Rodentia,Geomyidae ,Pocket-gophers,Thomomys,umbrinus,34.6,85,0.403,15.96630719
Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Parotomys,brantsii,39.1,86.5,0.468,17.3922219
Euarchontoglires,Rodentia,Spalacidae,*,Tatera,indica,*,87,0.422,21.97885349
Euarchontoglires,Rodentia,Sciuridae,Squirrels,Tamias,striatus,38.2,87.4,0.502,8.020638598
Euarchontoglires,Rodentia,Bathyergidae,African Mole-rats,Heliophobius,argenteocinereus,35.1,88,0.42,21.69528701
Laurasiatheria,Chiroptera,Pteropodidae,Old-world Fruit Bats,Rousettus,amplexicaudatus,36.5,91.5,0.582,16.4
Euarchontoglires,Rodentia,Cricetidae,*,Arvicola,amphibius,37.5,92,0.595,*
Euarchontoglires,Rodentia,Nesomyidae,*,Mystromys,albicaudatus,33,93.78,0.707,14.50722244
Euarchontoglires,Rodentia,Bathyergidae,African Mole-rats,Cryptomys,bocagei,33.7,94,0.388,20.72055727
Euarchontoglires,Rodentia,Sciuridae,Squirrels,Funisciurus,lemniscatus,*,95,0.5,23.24440593
Euarchontoglires,Rodentia,Sciuridae,Squirrels,Ammospermophilus,leucurus,37.5,95.7,0.524,9.661258694
Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Myotomys,unisulcatus,34.8,96,0.595,*
Laurasiatheria,Chiroptera,Phyllostomidae,American Leaf-nosed Bats,Chrotopterus,auritus,37.2,96.1,0.788,22.48406111
Euarchontoglires,Rodentia,Cricetidae,*,Mesocricetus,auratus,38.1,98,0.82,10.3888102
Marsupialia,Dasyuromorpha,Dasyuridae,Dasyurids,Dasycercus,cristicauda,36.9,101,0.285,22.61672526
Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Otomys,irroratus,37.6,102,0.474,15.40084051
Marsupialia,Didelphimorphia,Didelphidae,American Opossums,Monodelphis,domestica,32.6,104,0.335,21.93709325
Euarchontoglires,Rodentia,Heteromyidae,*,Dipodomys,deserti,36.8,106,0.514,15.04993401
Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Gerbilliscus,afra,34,106.5,1.016,*
Euarchontoglires,Rodentia,Geomyidae ,Pocket-gophers,Thomomys,talpoides,36.2,106.8,0.792,4.753105593
Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Gerbillus,pyramidum,36.1,108.5,0.454,23.16002438
Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Rattus,lutreolus,36.7,109,0.353,11.2754917
Euarchontoglires,Lagomorpha,Ochotonidae,Pikas,Ochotona,princeps,40.1,109,0.932,4.344202929
Euarchontoglires,Rodentia,Cricetidae,*,Neotoma,lepida,36.8,110,0.485,10.56166531
Euarchontoglires,Rodentia,Cricetidae,*,Megadontomys,thomasi,37.8,110.8,0.692,20.93687479
Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Meriones,tristrami,36.5,112,0.55,13.16367839
Euarchontoglires,Rodentia,Octodontidae,Degus & Tuco-tucos,Aconaemys,fuscus,37.3,112,0.675,5.906127127
Euarchontoglires,Rodentia,Sciuridae,Squirrels,Funisciurus,congicus,39.3,112.3,0.533,22.92889244
Euarchontoglires,Rodentia,Sciuridae,Squirrels,Cynomys,ludovicanus,36.7,112.3,2.278,10.87813364
Euarchontoglires,Primates,Tarsiidae,Tarsiers,Tarsius,syrichta,33.8,113,0.43,12.5130214
Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Myotomys,sloggetti,38,113.29,0.746,*
Euarchontoglires,Rodentia,Cricetidae,*,Sigmodon,ochrognathus,*,115.1,0.86,16.02191997
Afrotheria,Afrosoricida,Tenrecidae,Tenrecs,Echinops,telfairi,*,116.4,0.75,19.3887694
Euarchontoglires,Primates,Cebidae,*,Callithrix,pygmaea,*,116.8,0.6305,25.64772111
Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Rattus,rattus,*,117,0.77,*
Marsupialia,Dasyuromorpha,Dasyuridae,Dasyurids,Dasyuroides,byrnei,35.2,118.2,0.462,*
Euarchontoglires,Rodentia,Octodontidae,Degus & Tuco-tucos,Octomys,mimax,36.7,118.6,0.642,5.982066078
Euarchontoglires,Rodentia,Ctenomyidae,*,Ctenomys,talarum,36.1,121,0.611,13.50031057
Marsupialia,Didelphimorphia,Didelphidae,American Opossums,Marmosa,robinsoni,34,122,0.547,19.29686352
Euarchontoglires,Scandentia,Tupaiidae,Treeshrews,Tupaia,glis,37,123,0.522,18.28318773
Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Thallomys,nigricauda,*,124.7,0.382,20.38734838
Marsupialia,Diprontodontia,Petauridae,Ring-tail Possums & Gliders,Petaurus,breviceps,36.4,127,0.502,17.37844471
Euarchontoglires,Lagomorpha,Ochotonidae,Pikas,Ochotona,dauurica,*,127.7,1.389,-0.241584313
Euarchontoglires,Rodentia,Spalacidae,*,Spalax,ehrenbergi,36,128,0.614,*
Euarchontoglires,Rodentia,Cricetidae,*,Sigmodon,leucotis,*,128.6,1.04,15.57725946
Euarchontoglires,Soricomorpha,Talpidae,Moles,Scapanus,townsendii,*,130.1,0.607,6.86510902
Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Thallomys,paedulcus,36.7,132.4,0.487,21.65446705
Afrotheria,Afrosoricida,Tenrecidae,Tenrecs,Hemicentetes,nigriceps,*,133,0.358,*
Euarchontoglires,Rodentia,Octodontidae,Degus & Tuco-tucos,Spalacopus,cyanus,36.5,135,0.596,6.366698589
Euarchontoglires,Rodentia,Cricetidae,*,Sigmodon,alleni,*,137.8,1.134,17.65762083
Euarchontoglires,Rodentia,Cricetidae,*,Sigmodon,fulviventer,*,137.8,1.157,14.79531264
Euarchontoglires,Rodentia,Cricetidae,*,Isthmomys,pirrensis,37.6,137.9,0.677,21.59404115
Euarchontoglires,Rodentia,Bathyergidae,African Mole-rats,Cryptomys,damarensis,35.2,138,0.439,21.06482896
Euarchontoglires,Rodentia,Dipodidae,Gerboas & Jumping Mice (includes Zapodidae),Jaculus,orientalis,37,139,0.775,20.08810884
Euarchontoglires,Rodentia,Cricetidae,*,Sigmodon,hispidus,38.1,139.3,1.285,17.33733135
Euarchontoglires,Rodentia,Geomyidae ,Pocket-gophers,Thomomys,bottae,36,143,0.67,13.09388962
Laurasiatheria,Chiroptera,Pteropodidae,Old-world Fruit Bats,Rousettus,aegyptiacus,34.8,146,0.684,21.1
Laurasiatheria,Chiroptera,Megadermatidae,False Vampire Bats,Macroderma,gigas,37,148,0.776,22.1729681
Euarchontoglires,Rodentia,Octodontidae,Degus & Tuco-tucos,Octodontomys,gliroides,37.2,152,0.729,3.968182935
Marsupialia,Dasyuromorpha,Dasyuridae,Dasyurids,Phascogale,tapoatafa,37.4,157,0.71,17.25850497
Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Gerbilliscus,leucogaster,35.1,157.62,0.74,*
Euarchontoglires,Rodentia,Dipodidae,Gerboas & Jumping Mice (includes Zapodidae),Dipus,sagitta,36.8,160,0.676,5.706411322
Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Rattus,colletti,*,165.7,0.686,19.56257206
Marsupialia,Diprontodontia,Petauridae,Ring-tail Possums & Gliders,Gymnobelideus,leadbeateri,*,166,0.574,11.67424668
Euarchontoglires,Rodentia,Sciuridae,Squirrels,Spermophilus,tereticaudus,36.3,167,0.522,16.90385329
Euarchontoglires,Primates,Galagidae,*,Galago,moholi,*,170,0.285,21.0559038
Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Rattus,norvegicus,37.2,170,0.96,*
Euarchontoglires,Primates,Galagidae,*,Galago,senegalensis,37.9,171.5,0.764,24.45181513
Euarchontoglires,Rodentia,Geomyidae ,Pocket-gophers,Geomys,pinetis,36.3,173,0.743,17.44265929
Euarchontoglires,Primates,Tarsiidae,Tarsiers,Tarsius,spectrum,*,173,0.831,9.41089828
Euarchontoglires,Rodentia,Octodontidae,Degus & Tuco-tucos,Octodon,lunatus,*,173.2,0.957,8.410014542
Euarchontoglires,Rodentia,Sciuridae,Squirrels,Spermophilus,spilosoma,36.1,174,0.514,14.17462819
Euarchontoglires,Rodentia,Octodontidae,Degus & Tuco-tucos,Octodon,bridgesi,*,176.1,1.023,7.446191637
Laurasiatheria,Chiroptera,Pteropodidae,Old-world Fruit Bats,Dobsonia,praedatrix,37.1,179.5,0.795,8.155388014
Euarchontoglires,Rodentia,Cricetidae,*,Neotoma,albigula,*,183,0.75,15.61851422
Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Rattus,sordidus,39,187,0.595,19.84289971
Euarchontoglires,Rodentia,Cricetidae,*,Neotoma,fuscipes,36.6,187,0.824,9.751915776
Euarchontoglires,Primates,Cebidae,*,Callithrix,jacchus,*,190,0.848,23.21056148
Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Tachyoryctes,splendens,35.9,191,0.842,18.56024431
Euarchontoglires,Rodentia,Octodontidae,Degus & Tuco-tucos,Octodon,degus,37.6,193,0.949,5.024247372
Laurasiatheria,Chiroptera,Pteropodidae,Old-world Fruit Bats,Pteropus,pumilus,36.1,194.2,0.705,13.8253054
Euarchontoglires,Rodentia,Bathyergidae,African Mole-rats,Georychus,capensis,36.4,195,0.645,13.32575063
Euarchontoglires,Rodentia,Geomyidae ,Pocket-gophers,Geomys,bursarius,35,197,0.769,12.39335852
Euarchontoglires,Rodentia,Gliridae,Dormice,Glis,glis,37.7,200,0.881,*
Euarchontoglires,Rodentia,Spalacidae,*,Spalax,leucodon,36.3,201,0.83,*
Euarchontoglires,Rodentia,Cricetidae,*,Neotoma,cinerea,*,205.1,0.941,3.30287116
Euarchontoglires,Rodentia,Sciuridae,Squirrels,Spermophilus,tridecemlineatus,35.7,205.4,0.783,7.906669428
Euarchontoglires,Primates,Lorisidae,*,Arctocebus,calabarensis,*,206,0.731,22.93689986
Afrotheria,Macroscelidea,Macroscelididae,Elephant-shrews,Petrodromus,tetradactylus,37.5,206.1,1.001,21.82119061
Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Conilurus,penicillatus,*,213.2,0.908,20.53268528
Euarchontoglires,Rodentia,Ctenomyidae,*,Ctenomys,opimus,36,214,0.591161111,1.596028122
Euarchontoglires,Rodentia,Ctenomyidae,*,Ctenomys,maulinus,36.2,215,1.044,6.108278489
Euarchontoglires,Rodentia,Sciuridae,Squirrels,Paraxerus,cepapi,*,223.6,0.811,21.38986961
Euarchontoglires,Primates,Cebidae,*,Saguinus,geoffroyi,*,225,1.305,18.2762008
Laurasiatheria,Carnivora,Mustelidae,"Otters, Weasels & Badgers",Mustela,frenata,39,225,1.344,12.42595324
Euarchontoglires,Rodentia,Sciuridae,Squirrels,Tamiasciurus,hudsonicus,39.4,228.3,1.42,0.074351524
Euarchontoglires,Rodentia,Sciuridae,Squirrels,Spermophilus,townsendii,35.6,229,0.587,9.931739163
Euarchontoglires,Rodentia,Sciuridae,Squirrels,Heliosciurus,rufobrachium,*,230,0.744,23.47320093
Euarchontoglires,Rodentia,Sciuridae,Squirrels,Spermophilus,lateralis,36.3,237,0.8,5.663261068
Euarchontoglires,Rodentia,Sciuridae,Squirrels,Spermophilus,mohavensis,37,240,0.629,11.50022161
Xenarthra,Pilosa,Cyclopedidae,Silky Anteater,Cyclopes,didactylus,33,240,0.636,23.55573033
Euarchontoglires,Rodentia,Sciuridae,Squirrels,Spermophilus,citellus,37.5,240,1.272,8.450591271
Laurasiatheria,Chiroptera,Pteropodidae,Old-world Fruit Bats,Dobsonia,anderseni,36.4,241.4,0.971,*
Euarchontoglires,Rodentia,Sciuridae,Squirrels,Funisciurus,pyrropus,*,244,1.011,23.666571
Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Rattus,villosissimus,35.9,250.6,0.813,23.53352888
Euarchontoglires,Rodentia,Sciuridae,Squirrels,Spermophilus,satutatus,*,252.2,0.9,4.708911658
Laurasiatheria,Chiroptera,Pteropodidae,Old-world Fruit Bats,Pteropus,rodricensis,36.5,254.5,0.753,*
Euarchontoglires,Rodentia,Caviidae,Cavies & Guinea-pigs,Microcavia,niata,*,255,0.98,3.340119377
Euarchontoglires,Rodentia,Cricetidae,*,Neofiber,alleni,37.1,258.1,1.209,18.00211856
Euarchontoglires,Scandentia,Tupaiidae,Treeshrews,Urogale,everetti,*,260.6,1.25,13.14025831
Euarchontoglires,Primates,Galagidae,*,Euoticus,elegantulus,*,261.5,1.205,23.35620299
Euarchontoglires,Rodentia,Bathyergidae,African Mole-rats,Cryptomys,mechowi,34,267,0.894,21.03293449
Euarchontoglires,Rodentia,Sciuridae,Squirrels,Spermophilus,richardsoni,35.5,274,0.734,3.4224003
Euarchontoglires,Primates,Lorisidae,*,Loris,tardigradus,35.5,284,0.714,22.32204128
Euarchontoglires,Rodentia,Ctenomyidae,*,Ctenomys,fulvus,36.2,300,1.054,-2.003812425
Euarchontoglires,Primates,Cheirogaleidae,Dwarf-lemurs & Mouse-lemurs,Cheirogaleus,medius,38,300,1.088,19.8295127
Euarchontoglires,Rodentia,Sciuridae,Squirrels,Spermophilus,beldingi,35.5,303,0.71,6.970621385
Euarchontoglires,Rodentia,Sciuridae,Squirrels,Spermophilus,armatus,35.7,320,0.889,3.072704265
Euarchontoglires,Rodentia,Caviidae,Cavies & Guinea-pigs,Galea,musteloides,37.3,322,1.473,12.18660451
Euarchontoglires,Rodentia,Echimyidae,Spiny Rats,Thrichomys,apereoides,37.6,323,1.153,22.53669858
Marsupialia,Didelphimorphia,Didelphidae,American Opossums,Caluromys,derbianus,35,329,1.255,19.26391253
Marsupialia,Didelphimorphia,Didelphidae,American Opossums,Metachirus,nudicaudatus,35,336,1.144,23.71569777
Euarchontoglires,Rodentia,Ctenomyidae,*,Ctenomys,australis,37.3,340,0.65,11.04451146
Euarchontoglires,Rodentia,Spalacidae,*,Cannomys,badius,36,344,0.96,20.81224351
Euarchontoglires,Rodentia,Cricetidae,*,Cricetus,cricetus,39.5,362,1.293,3.534589569
Laurasiatheria,Chiroptera,Pteropodidae,Old-world Fruit Bats,Pteropus,scapulatus,37,362,1.353,20.5128658
Euarchontoglires,Rodentia,Sciuridae,Squirrels,Paraxerus,palliatus,39.3,366.6,1.452,*
Marsupialia,Dasyuromorpha,Dasyuridae,Dasyurids,Myrmecobius,fasciatus,32.5,400,0.794,14.40456812
Euarchontoglires,Erinaceomorpha,Erinaceidae,Hedgehogs & Moonrats,Hemiechinus,auritus,33.8,400,0.848,9.744572286
Laurasiatheria,Chiroptera,Pteropodidae,Old-world Fruit Bats,Dobsonia,moluccensis,36.8,404.3,2.052,16.23993922
Euarchontoglires,Rodentia,Bathyergidae,African Mole-rats,Bathyergus,janetta,34.7,406,1.201,14.3430194
Euarchontoglires,Rodentia,Chinchillidae,Viscachas & Chinchillas,Chinchilla,lanigera,35.7,426,1.117,5.728955556
Marsupialia,Peramelemorphia,Peramelidae,Bandicoots & Bilbies,Isoodon,auratus,33.8,428,0.837,21.82102208
Euarchontoglires,Lagomorpha,Leporidae,Rabbits & Hares,Brachylagus,idahoensis,*,432,2.145,6.898645018
Euarchontoglires,Rodentia,Sciuridae,Squirrels,Sciurus,carolinensis,38.7,440,2.062,10.78545331
Euarchontoglires,Erinaceomorpha,Erinaceidae,Hedgehogs & Moonrats,Paraechinus,aethiopicus,34.2,450,0.60625,*
Afrotheria,Afrosoricida,Tenrecidae,Tenrecs,Hemicentetes,semispinosus,*,450,0.628,18.29152447
Euarchontoglires,Erinaceomorpha,Erinaceidae,Hedgehogs & Moonrats,Atelerix,albiventris,35.2,450,0.828,24.43118296
Euarchontoglires,Rodentia,Sciuridae,Squirrels,Epixerus,ebii,*,460,1.347,22.39505493
Euarchontoglires,Rodentia,Ctenomyidae,*,Ctenomys,peruanus,35.2,490,1.23,4.889913081
Euarchontoglires,Rodentia,Echimyidae,Spiny Rats,Proechimys,semispinosus,37.9,498,1.75,18.71432415
Laurasiatheria,Chiroptera,Pteropodidae,Old-world Fruit Bats,Pteropus,hypomelanus,35.7,520.8,1.618,11.07961971
Afrotheria,Afrosoricida,Tenrecidae,Tenrecs,Setifer,setosus,32.2,530,0.68,19.1875934
Laurasiatheria,Carnivora,Herpestidae,Mongooses,Galerella,sanguinea,38.7,540,2.287,22.64107593
Euarchontoglires,Rodentia,Sciuridae,Squirrels,Xerus,inauris,36.8,542,1.82,18.97380545
Marsupialia,Dasyuromorpha,Dasyuridae,Dasyurids,Dasyurus,hallucatus,35.9,558,1.356,20.16935044
Laurasiatheria,Chiroptera,Pteropodidae,Old-world Fruit Bats,Pteropus,giganteus,36.7,562.2,1.622,22.95556272
Laurasiatheria,Chiroptera,Pteropodidae,Old-world Fruit Bats,Pteropus,poliocephalus,36.5,598,1.768,13.93863567
Euarchontoglires,Rodentia,Sciuridae,Squirrels,Spermophilus,beecheyi,37.6,599.6,1.773,9.371687646
Euarchontoglires,Rodentia,Sciuridae,Squirrels,Xerus,princeps,37.6,602,1.897,17.24772371
Euarchontoglires,Rodentia,Sciuridae,Squirrels,Spermophilus,franklinii,36.6,607,2.19,6.47165741
Laurasiatheria,Carnivora,Herpestidae,Mongooses,Herpestes,javanicus,39.8,611,2.248,19.64594202
Euarchontoglires,Rodentia,Bathyergidae,African Mole-rats,Bathyergus,suillus,35.3,620,1.695,12.7399683
Laurasiatheria,Carnivora,Mephitidae,*,Spilogale,putorius,36.4,624,1.674,12.09196129
Euarchontoglires,Rodentia,Sciuridae,Squirrels,Sciurus,aberti,40.7,624,2.402,*
Euarchontoglires,Rodentia,Caviidae,Cavies & Guinea-pigs,Cavia,porcellus,39,629,1.93,*
Euarchontoglires,Rodentia,Aplodontiidae,Sewellel,Aplodontia,rufa,38,630,1.546,5.975391453
Marsupialia,Peramelemorphia,Peramelidae,Bandicoots & Bilbies,Perameles,nasuta,36.1,645,1.763,14.0445635
Afrotheria,Afrosoricida,Tenrecidae,Tenrecs,Tenrec,ecaudatus,33,650,0.729,18.96498326
Euarchontoglires,Rodentia,Sciuridae,Squirrels,Spermophilus,parryi,37,650,2.901,-9.684898309
Laurasiatheria,Carnivora,Mustelidae,"Otters, Weasels & Badgers",Neovison,vison,39,660,2.722,*
Euarchontoglires,Lagomorpha,Leporidae,Rabbits & Hares,Sylvilagus,audubonii,38.3,672.4,2.443,12.61725067
Euarchontoglires,Rodentia,Sciuridae,Squirrels,Spermophilus,undulatus,38,680,3.721,-5.093179108
Monotremata,Monotremata,Ornithorhynchidae,Echidnas,Ornithorhynchus,anatinus,32.1,693,1.082,12.94892415
Marsupialia,Peramelemorphia,Peramelidae,Bandicoots & Bilbies,Echymipera,kalubu,35,695,1.837611111,19.22291052
Marsupialia,Peramelemorphia,Peramelidae,Bandicoots & Bilbies,Isoodon,obesulus,33.9,717,1.238,11.23323766
Euarchontoglires,Erinaceomorpha,Erinaceidae,Hedgehogs & Moonrats,Echinosorex,gymnura,36.3,721.2,2.816,20.21551741
Euarchontoglires,Erinaceomorpha,Erinaceidae,Hedgehogs & Moonrats,Erinaceus,europaeus,35.6,750,1.883,5.994156248
Marsupialia,Didelphimorphia,Didelphidae,American Opossums,Philander,opossum,35.8,751,1.886,23.12636491
Euarchontoglires,Rodentia,Capromyidae,Hutias,Geocapromys,ingrahami,*,775,1.483,*
Euarchontoglires,Rodentia,Caviidae,Cavies & Guinea-pigs,Kerodon,rupestris,38.2,801,2.011,22.98119714
Marsupialia,Didelphimorphia,Didelphidae,American Opossums,Lutreolina,crassicaudata,35.8,812,2.265,19.14995111
Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Uromys,caudimaculatus,37.1,812,3.184,19.55105132
Euarchontoglires,Primates,Aotidae,*,Aotus,trivirgatus,38,820,2.466,24.77171597
