Higher classification,Order,Family,Common Name,Genus,Species,Body Temperature (C),Body Mass (g),Basal Metabolic Rate (W),Air temperature (C)
Euarchontoglires,Soricomorpha,Soricidae,Shrews,Crocidura,luna,34.8,11.8,0.138,20.75432833
Euarchontoglires,Soricomorpha,Talpidae,Moles,Neurotrichus,gibbsii,38.4,11.8,0.259,6.674957851
Laurasiatheria,Chiroptera,Vespertilionidae,Vesper Bats,Myotis,velifer,*,11.89,0.04,18.00402449
Euarchontoglires,Rodentia,Cricetidae,*,Peromyscus,polionotus,37.2,12,0.12,17.18566669
Euarchontoglires,Rodentia,Cricetidae,*,Scotinomys,teguina,37.6,12,0.174,21.48681684
Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Pseudomys,hermannsburgensis,37.8,12.2,0.13,21.33638748
Afrotheria,Afrosoricida,Tenrecidae,Tenrecs,Microgale,cowani,33,12.2,0.179,18.89674151
Laurasiatheria,Chiroptera,Pteropodidae,Old-world Fruit Bats,Megaloglossus,woermanni,*,12.4,0.121,23.23892706
Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Gerbillus,pusillus,34.6,12.6,0.075,23.14226668
Marsupialia,Diprontodontia,Burramyidae,Pygmy Possums,Cercartetus,lepidus,33.7,12.6,0.105,10.48972022
Marsupialia,Didelphimorphia,Didelphidae,American Opossums,Gracilinanus,microtarsus,35,13,0.106,16.8113946
Marsupialia,Dasyuromorpha,Dasyuridae,Dasyurids,Planigale,maculata,34.5,13.1,0.074,20.38703811
Euarchontoglires,Soricomorpha,Soricidae,Shrews,Neomys,anomalus,*,13.1,0.373,8.168961989
Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Mus,musculus,36.7,13.2,0.365,*
Laurasiatheria,Chiroptera,Pteropodidae,Old-world Fruit Bats,Nyctimene,major,33,13.6,0.114,6.864083231
Laurasiatheria,Chiroptera,Molossidae,Free-tailed Bats,Nyctinomops,laticaudatus,*,14,0.062,22.36822173
Marsupialia,Diprontodontia,Acrobatidae,Feathertail Glider & Feather-tail Possum,Acrobates,pygmaeus,34.7,14,0.084,17.17255491
Laurasiatheria,Chiroptera,Mormoopidae,Leaf-chinned Bats,Pteronotus,personatus,37.5,14,0.128,22.13667633
Euarchontoglires,Soricomorpha,Soricidae,Shrews,Crocidura,viaria,34.5,14.7,0.123,25.398803
