RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01
10221.0,Austin,Texas,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261500.0,265e3,263100.0,269200.0,271800.0,272700.0,280600.0,282300.0,281400.0,277400.0,278e3,291800.0,295500.0,296900.0,291600.0,288100.0,292e3,289800.0,294100.0,293300.0,298700.0,300500.0,305900.0,306500.0,307400.0,307100.0,312800.0,313800.0,314100.0,315500.0,320300.0,318e3,316200.0,315200.0,317100.0,324900.0,331300.0,338100.0,331300.0,328300.0,331700.0,343400.0,343500.0,
10920.0,Columbus,Ohio,14,117800.0,111800.0,114800.0,110600.0,109100.0,103800.0,103200.0,101300.0,97e3,92e3,95900.0,95300.0,94300.0,89500.0,92700.0,97600.0,103e3,108500.0,114200.0,117100.0,117700.0,113500.0,104400.0,104300.0,104600.0,105900.0,103800.0,103800.0,98500.0,87800.0,78500.0,79700.0,81400.0,88800.0,88500.0,84300.0,77800.0,77100.0,78e3,78800.0,80100.0,87300.0,88200.0,86200.0,83100.0,86700.0,88800.0,86600.0,85200.0,89600.0,99100.0,103300.0,107300.0,105900.0,105400.0,102800.0,101300.0,101800.0,109100.0,106e3,104e3,95300.0,101600.0,105600.0,110800.0,113700.0,113e3,108600.0,107900.0,108700.0,113900.0,113900.0,115200.0,118600.0,119100.0,121100.0,118200.0,119600.0,119800.0,124200.0,124500.0,127e3,125600.0,149800.0,148600.0,147400.0,125400.0,124800.0,125600.0,124600.0,126500.0,125900.0,126400.0,125900.0,126500.0,129800.0,133100.0,136900.0,137500.0,134300.0,134400.0,136300.0,141200.0,145e3,149600.0,166200.0,168600.0,165900.0,151200.0,147600.0,145e3,140800.0,141200.0,144100.0,147500.0,147800.0,149800.0,,
32811.0,Memphis,Tennessee,15,72300.0,71100.0,66900.0,65e3,62500.0,61800.0,61400.0,59800.0,56400.0,53200.0,53300.0,55200.0,54300.0,52100.0,46600.0,47900.0,48200.0,55400.0,59700.0,61700.0,63900.0,64200.0,63700.0,58900.0,54e3,56900.0,58100.0,6e4,54600.0,52900.0,50900.0,50500.0,55500.0,59800.0,63500.0,63700.0,60200.0,55600.0,49700.0,49e3,49600.0,50200.0,54800.0,57100.0,56800.0,57600.0,57600.0,59700.0,55700.0,55700.0,54400.0,53200.0,53200.0,55200.0,58100.0,60700.0,63700.0,69100.0,72200.0,72300.0,69900.0,67900.0,65700.0,67200.0,70800.0,72300.0,72600.0,72200.0,72300.0,72300.0,72300.0,76700.0,80600.0,8e4,79800.0,76600.0,86700.0,85900.0,87300.0,86500.0,87700.0,92100.0,85700.0,86600.0,84600.0,86400.0,85200.0,85800.0,84200.0,88100.0,89200.0,89200.0,86600.0,84900.0,85300.0,84400.0,82700.0,87e3,91e3,94800.0,92e3,9e4,88200.0,88900.0,92200.0,92800.0,93500.0,92100.0,92700.0,96100.0,98500.0,99200.0,97e3,99100.0,102100.0,103600.0,106800.0,107500.0,108100.0
17933.0,El Paso,Texas,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125800.0,120200.0,119100.0,126600.0,131300.0,134e3,134400.0,134900.0,136900.0,132e3,132400.0,132300.0,130700.0,130400.0,129500.0,131800.0,132700.0,130500.0,130400.0,129800.0,131100.0,130500.0,129700.0,130300.0,130200.0,129400.0,130300.0,128900.0,129700.0,129300.0,129400.0,129e3,126700.0,127e3,128700.0,128600.0,129600.0,13e4,129800.0,130900.0,129500.0,128900.0,128100.0,128800.0,131500.0,134700.0,134300.0,134200.0,133300.0,130300.0,127900.0,127200.0,130900.0,137e3,138800.0,140200.0,137500.0,139500.0,142700.0,143600.0,140700.0,135e3,132800.0,137300.0,143e3,149e3,148e3,144400.0,
44269.0,Boston,Massachusetts,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400600.0,402800.0,398200.0,391100.0,393500.0,394600.0,4e5,400900.0,407400.0,412600.0,415300.0,417100.0,42e4,420400.0,422500.0,425300.0,435300.0,441200.0,438400.0,433200.0,428900.0,439600.0,440300.0,445600.0,445500.0,448400.0,445300.0,441700.0,444500.0,449200.0,457500.0,463700.0,480300.0,483300.0,481400.0,480900.0,481100.0,488400.0,491400.0,499400.0,502100.0,505500.0,508200.0,510200.0,512100.0,508800.0,519400.0,516e3,538300.0,538400.0,546500.0,536600.0,536700.0,529900.0,533300.0,550300.0,566e3,565100.0,564900.0,563200.0,571100.0,565700.0,563800.0,563400.0,580700.0,586700.0,601600.0,
16037.0,Seattle,Washington,18,421900.0,424200.0,425900.0,422800.0,414100.0,407800.0,404400.0,403100.0,397800.0,399500.0,396400.0,394100.0,384300.0,373300.0,367100.0,365400.0,369400.0,373900.0,376900.0,382e3,377900.0,382100.0,387500.0,396e3,397600.0,392100.0,389700.0,384100.0,393600.0,404800.0,414900.0,402100.0,389500.0,380400.0,391e3,391700.0,389700.0,378500.0,371e3,365700.0,370300.0,376100.0,383800.0,374900.0,369100.0,359200.0,366200.0,368800.0,382900.0,393900.0,401100.0,395400.0,390400.0,391700.0,400300.0,399700.0,406100.0,405900.0,407700.0,413400.0,419200.0,423400.0,419700.0,415300.0,419700.0,421200.0,428300.0,427800.0,426700.0,426600.0,431100.0,435800.0,430900.0,424600.0,424900.0,431900.0,440600.0,439400.0,444e3,449900.0,451500.0,453100.0,452200.0,458800.0,461200.0,468500.0,473900.0,482300.0,481500.0,493400.0,492600.0,494900.0,497700.0,512e3,524e3,522800.0,529100.0,535400.0,544500.0,548800.0,549200.0,551700.0,551900.0,558100.0,568100.0,568600.0,577e3,587600.0,601200.0,615700.0,621700.0,637600.0,653800.0,666800.0,674500.0,671700.0,675800.0,676300.0,703600.0
3523.0,Baltimore,Maryland,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65300.0,79200.0,88400.0,85700.0,82300.0,83100.0,82300.0,80800.0,79600.0,85700.0,86700.0,86500.0,103600.0,107500.0,115400.0,106700.0,105700.0,100200.0,98100.0,104200.0,103700.0,107e3,101400.0,100600.0,92700.0,89500.0,91e3,96e3,105300.0,111300.0,110900.0,101800.0,97900.0,97800.0,101700.0,95700.0,99400.0,101100.0,104900.0,92600.0,84200.0,80900.0,84600.0,92700.0,98500.0,98100.0,95600.0,93300.0,94500.0,93500.0,93200.0,97800.0,100900.0,100900.0,100500.0,91500.0,91900.0,92900.0,101300.0,107400.0,109100.0,110500.0,107600.0,108400.0,109100.0,114600.0,113300.0,115500.0,108500.0,110200.0,101700.0,101700.0,95700.0,103400.0,103600.0,
11093.0,Denver,Colorado,20,192600.0,188300.0,180200.0,171900.0,171500.0,176900.0,176100.0,173300.0,165400.0,158700.0,147900.0,144500.0,147300.0,157300.0,164400.0,173800.0,180500.0,188600.0,191800.0,199e3,203200.0,201800.0,196200.0,203400.0,203500.0,201600.0,192200.0,195e3,204700.0,205300.0,207200.0,208700.0,211600.0,213800.0,207900.0,209100.0,202600.0,203700.0,201200.0,206700.0,207400.0,208600.0,207900.0,211100.0,213e3,214500.0,215e3,211600.0,213300.0,212200.0,219200.0,229500.0,239700.0,247700.0,249900.0,252500.0,258500.0,258100.0,256100.0,251400.0,250500.0,256800.0,258600.0,261900.0,261400.0,265300.0,270300.0,277900.0,274500.0,265300.0,259400.0,260500.0,265100.0,262700.0,266400.0,269100.0,274100.0,274300.0,277e3,280400.0,284400.0,287600.0,291400.0,298800.0,306e3,308800.0,308500.0,308100.0,308e3,308700.0,310800.0,316800.0,323800.0,326200.0,334500.0,335500.0,34e4,336700.0,337e3,339e3,345400.0,353900.0,360900.0,362600.0,366e3,371700.0,371900.0,370100.0,364900.0,366600.0,365400.0,369e3,369800.0,382600.0,389700.0,401500.0,402100.0,403700.0,403700.0
41568.0,Washington,District of Columbia,21,396e3,395e3,394100.0,393600.0,398e3,390500.0,391600.0,38e4,381300.0,372400.0,375e3,370900.0,370700.0,368500.0,364500.0,368800.0,362500.0,362800.0,358900.0,352900.0,353800.0,346400.0,362800.0,352600.0,345500.0,334300.0,343200.0,345300.0,346100.0,362600.0,381900.0,382400.0,378600.0,387200.0,407800.0,393100.0,377200.0,354500.0,356500.0,36e4,356100.0,361300.0,366e3,370400.0,364700.0,366200.0,371800.0,373900.0,360800.0,356100.0,370800.0,383200.0,397200.0,398e3,403300.0,408600.0,410500.0,422e3,431800.0,446e3,439700.0,439e3,431400.0,432900.0,429500.0,431800.0,445200.0,446800.0,451200.0,446600.0,452900.0,450200.0,454400.0,454300.0,463e3,466800.0,474100.0,475100.0,471200.0,472500.0,475e3,477200.0,480400.0,478400.0,487100.0,491e3,497900.0,504600.0,502600.0,503300.0,498700.0,498700.0,496400.0,499200.0,496800.0,506e3,502900.0,505700.0,505200.0,505400.0,512900.0,516700.0,519e3,523700.0,526300.0,531200.0,541200.0,537800.0,543900.0,531800.0,529300.0,527900.0,533400.0,528900.0,523900.0,522100.0,519300.0,522500.0,516700.0
6118.0,Nashville,Tennessee,22,148300.0,146600.0,145900.0,147200.0,146100.0,146500.0,142300.0,144300.0,141400.0,142400.0,140100.0,142300.0,141800.0,142400.0,141100.0,141400.0,142e3,141600.0,140900.0,141700.0,139900.0,138300.0,137400.0,137800.0,142700.0,141400.0,142500.0,139700.0,136100.0,137200.0,135900.0,14e4,137100.0,137400.0,137800.0,135700.0,134400.0,133300.0,135200.0,137500.0,137900.0,144e3,140200.0,138300.0,131900.0,134400.0,134500.0,136300.0,137e3,137500.0,141e3,144e3,144800.0,145900.0,146500.0,149e3,146900.0,148500.0,145600.0,144200.0,143900.0,149900.0,155900.0,158e3,161800.0,163100.0,164700.0,164700.0,167200.0,164400.0,165700.0,169700.0,174600.0,181400.0,179400.0,179800.0,172300.0,171900.0,172600.0,173700.0,175100.0,176800.0,178e3,180700.0,184200.0,186700.0,187900.0,187e3,183800.0,186100.0,187800.0,195700.0,197300.0,193500.0,195800.0,196e3,202300.0,204800.0,207100.0,210700.0,211300.0,213900.0,215400.0,220800.0,221e3,222300.0,224600.0,230500.0,234600.0,235100.0,235800.0,236800.0,235600.0,237100.0,243200.0,248600.0,250200.0,244600.0,244600.0
5976.0,Milwaukee,Wisconsin,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98700.0,97600.0,101700.0,103500.0,108600.0,110300.0,110600.0,112e3,108400.0,107600.0,106900.0,114800.0,115900.0,120800.0,121200.0,125500.0,124800.0,124900.0,124e3,122700.0,116500.0,118300.0,123900.0,137100.0,138e3,
